1.500000000000000000e+01,2.500000000000000000e+01
1.555555555555555536e+01,2.555555555555555713e+01
1.611111111111111072e+01,2.611111111111111072e+01
1.666666666666666785e+01,2.666666666666666785e+01
1.722222222222222143e+01,2.722222222222222143e+01
1.777777777777777857e+01,2.777777777777777857e+01
1.833333333333333215e+01,2.833333333333333215e+01
1.888888888888888928e+01,2.888888888888888928e+01
1.944444444444444287e+01,2.944444444444444287e+01
2.000000000000000000e+01,3.000000000000000000e+01
1.000000000000000000e+00,1.100000000000000000e+01
1.473684210526315708e+00,1.147368421052631504e+01
1.947368421052631415e+00,1.194736842105263186e+01
2.421052631578947345e+00,1.242105263157894690e+01
2.894736842105262831e+00,1.289473684210526372e+01
3.368421052631578760e+00,1.336842105263157876e+01
3.842105263157894690e+00,1.384210526315789380e+01
4.315789473684210620e+00,1.431578947368421062e+01
4.789473684210525661e+00,1.478947368421052566e+01
5.263157894736841591e+00,1.526315789473684248e+01
5.736842105263157521e+00,1.573684210526315752e+01
6.210526315789473450e+00,1.621052631578947256e+01
6.684210526315789380e+00,1.668421052631578760e+01
7.157894736842105310e+00,1.715789473684210620e+01
7.631578947368420351e+00,1.763157894736842124e+01
8.105263157894736281e+00,1.810526315789473628e+01
8.578947368421051323e+00,1.857894736842105132e+01
9.052631578947368141e+00,1.905263157894736992e+01
9.526315789473683182e+00,1.952631578947368496e+01
1.000000000000000000e+01,2.000000000000000000e+01
11,11
11.5,11.5
12.5,12.5
13.5,13.5
14.5,14.5
15.5,15.5
12,12
13,13
14,14
15,15
